tic,datadate,revtq,niq
NTES,2025-12-31,4151.738,961.41
NTES,2025-09-30,4032.778,1226.658
NTES,2025-06-30,3945.087,1219.078
NTES,2025-03-31,3972.788,1419.576
NTES,2024-12-31,3227.749,1084.638
NTES,2024-09-30,3995.519,1003.353
NTES,2024-06-30,3483.37,923.324
NTES,2024-03-31,3718.898,1057.282
NTES,2023-12-31,4131.574,1019.239
NTES,2023-09-30,3696.14,1061.431
NTES,2023-06-30,3118.354,1084.659
NTES,2023-03-31,3646.081,983.297
NTES,2022-12-31,3990.742,645.581
NTES,2022-09-30,3027.032,857.409
NTES,2022-06-30,3257.418,752.632
NTES,2022-03-31,3715.446,693.066
NTES,2021-12-31,3978.728,921.414
NTES,2021-09-30,3456.271,496.224
NTES,2021-06-30,3224.916,558.529
NTES,2021-03-31,3131.073,677.446
NTES,2020-12-31,3271.358,202.828
NTES,2020-09-30,2948.639,487.652
NTES,2020-06-30,2580.346,643.643
NTES,2020-03-31,2409.256,501.412
NTES,2019-12-31,2422.697,506.573
NTES,2019-09-30,1881.341,1749.627
NTES,2019-06-30,2056.444,439.432
NTES,2019-03-31,2148.976,354.946
NTES,2018-12-31,2876.098,245.975
NTES,2018-09-30,2286.936,216.728
NTES,2018-06-30,2341.645,311.955
NTES,2018-03-31,2259.507,119.869
NTES,2017-12-31,2485.111,257.59
NTES,2017-09-30,1875.429,379.879
NTES,2017-06-30,1973.072,438.409
NTES,2017-03-31,1981.716,569.904
NTES,2016-12-31,1542.843,469.506
NTES,2016-09-30,1381.367,410.89
NTES,2016-06-30,1347.12,409.366
NTES,2016-03-31,1227.568,381.637
